"","control","instnm","ccbasic","stabbr","female","first_gen","poverty_rate","veteran","unemp_rate","ug_whitenh","ug_aianold","ug_api","ug_blacknh","ug_hispold","ug_nra","ug_unkn","year"
"129",1,"The University of Texas at Dallas",15,"TX",0.462079616,0.313957935,6.309999943,0.004632807,2.859999895,NA,NA,NA,NA,NA,NA,NA,"latest"
"130",1,"The University of Texas at San Antonio",16,"TX",0.541674384,0.388502455,10.67000008,0.004445268,3.380000114,NA,NA,NA,NA,NA,NA,NA,"latest"
"131",1,"University of Vermont",16,"VT",0.601497265,0.115112161,5.409999847,NA,2.789999962,NA,NA,NA,NA,NA,NA,NA,"latest"
"132",1,"University of Southern Mississippi",15,"MS",0.650544135,0.32596892,14.43999958,0.002763863,3.99000001,NA,NA,NA,NA,NA,NA,NA,"latest"
"133",1,"University of Missouri-Kansas City",16,"MO",0.606357616,0.33704246,7.360000134,0.004768212,3.150000095,NA,NA,NA,NA,NA,NA,NA,"latest"
"134",1,"Rowan University",16,"NJ",0.487541138,0.350826376,5.760000229,0.004388027,3.700000048,NA,NA,NA,NA,NA,NA,NA,"latest"
"135",2,"Cornell University",15,"NY",0.533558075,0.154164018,6.489999771,NA,3.200000048,NA,NA,NA,NA,NA,NA,NA,"latest"
"136",2,"Yeshiva University",16,"NY",0.516239316,0.143859649,8.220000267,NA,3.349999905,NA,NA,NA,NA,NA,NA,NA,"latest"
"137",2,"Teachers College at Columbia University",16,"NY",NA,NA,9.989999771,NA,4.28000021,NA,NA,NA,NA,NA,NA,NA,"latest"
"138",1,"University at Buffalo",15,"NY",0.427613941,0.280619112,8.25,0.002802827,3.890000105,NA,NA,NA,NA,NA,NA,NA,"latest"
"139",1,"University of North Carolina Wilmington",16,"NC",0.63087375,0.258978452,7.730000019,0.007171164,3.119999886,NA,NA,NA,NA,NA,NA,NA,"latest"
"140",1,"University of North Carolina at Greensboro",16,"NC",0.685265372,0.312764505,7.539999962,0.00173203,3.130000114,NA,NA,NA,NA,NA,NA,NA,"latest"
"141",1,"Miami University-Oxford",16,"OH",0.541991342,0.228633642,5.070000172,0.003809524,2.539999962,NA,NA,NA,NA,NA,NA,NA,"latest"
"142",1,"Cleveland State University",16,"OH",0.589336719,0.383755459,9.920000076,0.008410029,3.680000067,NA,NA,NA,NA,NA,NA,NA,"latest"
"143",1,"University of Toledo",16,"OH",0.525252525,0.33446273,7.769999981,0.005879692,3.24000001,NA,NA,NA,NA,NA,NA,NA,"latest"
"144",1,"Ohio University-Main Campus",16,"OH",0.634900623,0.338695755,7.820000172,0.006526253,3.160000086,NA,NA,NA,NA,NA,NA,NA,"latest"
"145",1,"Wright State University-Main Campus",16,"OH",0.559505671,0.351262948,6.550000191,0.003555104,2.940000057,NA,NA,NA,NA,NA,NA,NA,"latest"
"146",1,"University of Oregon",15,"OR",0.581754386,0.284458575,7.28000021,0.002280702,3.809999943,NA,NA,NA,NA,NA,NA,NA,"latest"
"147",1,"Portland State University",16,"OR",0.582363316,0.391093011,7.110000134,0.007172252,4.070000172,NA,NA,NA,NA,NA,NA,NA,"latest"
"148",2,"Drexel University",15,"PA",0.568042814,0.292285479,6.46999979,0.006498471,3.289999962,NA,NA,NA,NA,NA,NA,NA,"latest"
"149",1,"Pennsylvania State University-Main Campus",15,"PA",0.501226005,0.287565253,6.789999962,0.004693849,3.150000095,NA,NA,NA,NA,NA,NA,NA,"latest"
"150",1,"Tennessee Technological University",16,"TN",0.500758265,0.375570033,10.13000011,0.004852897,3.109999895,NA,NA,NA,NA,NA,NA,NA,"latest"
"151",1,"University of Wyoming",16,"WY",0.543719639,0.277271069,7.96999979,0.007633588,3.279999971,NA,NA,NA,NA,NA,NA,NA,"latest"
"152",1,"University of Wisconsin-Madison",15,"WI",0.531132783,0.168052722,4.840000153,0.001950488,2.829999924,NA,NA,NA,NA,NA,NA,NA,"latest"
"153",1,"University of Puerto Rico-Rio Piedras",16,"PR",0.618448637,0.15583239,45.72999954,NA,7.920000076,NA,NA,NA,NA,NA,NA,NA,"latest"
"154",3,"Ponce Health Sciences University",16,"PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"155",2,"Stanford University",15,"CA",0.494019139,0.303385417,7.550000191,NA,3.450000048,NA,NA,NA,NA,NA,NA,NA,"latest"
"156",1,"William & Mary",16,"VA",0.607172644,0.131669535,4.800000191,NA,2.609999895,NA,NA,NA,NA,NA,NA,NA,"latest"
"157",1,"University of Utah",15,"UT",0.505529686,0.294409168,6.059999943,0.004511059,3.170000076,NA,NA,NA,NA,NA,NA,NA,"latest"
"158",1,"Virginia Polytechnic Institute and State University",15,"VA",0.464932652,0.177634755,5.309999943,NA,2.440000057,NA,NA,NA,NA,NA,NA,NA,"latest"
"159",1,"University of Rhode Island",16,"RI",0.594716719,0.263285475,6.909999847,0.001911714,3.170000076,NA,NA,NA,NA,NA,NA,NA,"latest"
"160",1,"University of South Dakota",16,"SD",0.634171196,0.242545455,7.320000172,NA,2.559999943,NA,NA,NA,NA,NA,NA,NA,"latest"
"161",1,"University of Oklahoma-Norman Campus",15,"OK",0.557354514,0.283689099,8.5,0.005040477,2.980000019,NA,NA,NA,NA,NA,NA,NA,"latest"
"162",2,"Carnegie Mellon University",15,"PA",0.472536349,0.099502488,5.909999847,NA,2.980000019,NA,NA,NA,NA,NA,NA,NA,"latest"
"163",2,"Duquesne University",16,"PA",0.642581144,0.172968624,6.449999809,NA,3.029999971,NA,NA,NA,NA,NA,NA,NA,"latest"
"164",2,"Lehigh University",16,"PA",0.447535771,0.168765743,4.039999962,NA,2.619999886,NA,NA,NA,NA,NA,NA,NA,"latest"
"165",1,"The University of Tennessee-Knoxville",15,"TN",0.530194339,0.245407184,8.279999733,0.001565149,3.029999971,NA,NA,NA,NA,NA,NA,NA,"latest"
"166",1,"Rutgers University-Newark",16,"NJ",0.553944444,0.345829486,6.019999981,0.004277778,3.529999971,NA,NA,NA,NA,NA,NA,NA,"latest"
"167",1,"New Mexico State University-Main Campus",16,"NM",0.576561404,0.4362587,17.79999924,0.004210526,4.860000134,NA,NA,NA,NA,NA,NA,NA,"latest"
"168",2,"Columbia University in the City of New York",15,"NY",0.447272727,0.250490517,8.779999733,0.01030303,3.670000076,NA,NA,NA,NA,NA,NA,NA,"latest"
"169",2,"Rochester Institute of Technology",16,"NY",0.353158327,0.194684529,6.539999962,NA,3.339999914,NA,NA,NA,NA,NA,NA,NA,"latest"
"170",2,"Rockefeller University",16,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"171",1,"Binghamton University",15,"NY",0.517791676,0.248382625,8.779999733,NA,3.450000048,NA,NA,NA,NA,NA,NA,NA,"latest"
"172",2,"Vanderbilt University",15,"TN",0.52811245,0.122257053,6.650000095,NA,2.960000038,NA,NA,NA,NA,NA,NA,NA,"latest"
"173",2,"Southern Methodist University",16,"TX",0.509536785,0.156824782,6.380000114,NA,2.819999933,NA,NA,NA,NA,NA,NA,NA,"latest"
"174",1,"The University of Texas at Arlington",15,"TX",0.664199279,0.43769156,8.239999771,0.007337796,3.279999971,NA,NA,NA,NA,NA,NA,NA,"latest"
"175",1,"Texas State University",16,"TX",0.600847929,0.358270419,8.699999809,0.002988602,3.25999999,NA,NA,NA,NA,NA,NA,NA,"latest"
"176",1,"University of North Texas",15,"TX",0.548531843,0.347966205,7.210000038,0.004880737,3.089999914,NA,NA,NA,NA,NA,NA,NA,"latest"
"177",1,"George Mason University",15,"VA",0.557201846,0.299878592,4.010000229,0.002428953,2.190000057,NA,NA,NA,NA,NA,NA,NA,"latest"
"178",1,"Washington State University",15,"WA",0.574296336,0.340879765,7.730000019,0.003611259,4.25,NA,NA,NA,NA,NA,NA,NA,"latest"
"179",1,"Kansas State University",15,"KS",0.520871143,0.224791377,6.269999981,0.005279657,2.579999924,NA,NA,NA,NA,NA,NA,NA,"latest"
