"","control","university","r_status","state","female","first_gen","poverty_rate","veteran","unemp_rate","white","black","hispanic","asian","indigenous","nhpi","nra","unknown","year"
"315",2,"University of New England","R2","ME",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.8907,0.0122,0.0025,0.0298,0.0034,0.0013,0.0038,0.0378,"2018"
"316",2,"Clark University","R2","MA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.5866,0.04,0.087,0.0777,4e-04,0,0.1248,0.0577,"2018"
"317",2,"Harvard University","R1","MA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.4054,0.0803,0.1133,0.1922,0.0024,9e-04,0.1176,0.0191,"2018"
"318",2,"Worcester Polytechnic Institute","R2","MA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6296,0.03,0.0925,0.0468,0.0031,4e-04,0.0925,0.0827,"2018"
"319",1,"University of Massachusetts-Dartmouth","R2","MA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.5911,0.1636,0.1047,0.0388,0.0018,2e-04,0.022,0.0391,"2018"
"320",2,"The New School","R2","NY",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.3342,0.052,0.1193,0.1012,5e-04,0.0012,0.3151,0.0346,"2018"
"321",1,"Stony Brook University","R1","NY",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.3247,0.0711,0.1216,0.2596,0.001,6e-04,0.1352,0.0597,"2018"
"322",2,"Wake Forest University","R2","NC",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6913,0.0645,0.0712,0.0373,0.0011,2e-04,0.0997,2e-04,"2018"
"323",1,"University of Cincinnati-Main Campus","R1","OH",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.7428,0.0712,0.0337,0.0411,0.0012,4e-04,0.0445,0.0281,"2018"
"324",1,"University of California-Merced","R2","CA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.0963,0.045,0.543,0.1941,0.0013,0.0065,0.0766,0.0051,"2018"
"325",2,"Clarkson University","R2","NY",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.8113,0.0245,0.0473,0.0369,0.003,0,0.0228,0.0188,"2018"
"326",1,"CUNY City College","R2","NY",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.1327,0.15,0.3805,0.25,0.0011,0.0019,0.0653,0,"2018"
"327",2,"Fordham University","R2","NY",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.5626,0.0401,0.1446,0.1088,7e-04,0.0013,0.0874,0.0155,"2018"
"328",2,"Rensselaer Polytechnic Institute","R1","NY",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.5058,0.0402,0.0938,0.136,0.0015,2e-04,0.1487,0.0141,"2018"
"329",1,"East Carolina University","R2","NC",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6682,0.1572,0.0686,0.0256,0.0063,0.0015,0.0048,0.0254,"2018"
"330",2,"Case Western Reserve University","R1","OH",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.4714,0.0411,0.0782,0.2103,0.0016,8e-04,0.1351,0.0131,"2018"
"331",1,"North Dakota State University-Main Campus","R2","ND",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.8685,0.0275,0.0249,0.0148,0.006,9e-04,0.014,0.0121,"2018"
"332",1,"Wayne State University","R1","MI",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.5857,0.1615,0.0538,0.1001,0.0027,8e-04,0.0224,0.0319,"2018"
"333",1,"University of Nebraska-Lincoln","R1","NE",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.7442,0.027,0.066,0.0289,0.0025,7e-04,0.0902,0.01,"2018"
"334",1,"University of New Hampshire-Main Campus","R1","NH",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.8243,0.0111,0.0343,0.0264,0.0015,2e-04,0.0391,0.0428,"2018"
"335",1,"Arizona State University-Tempe","R1","AZ",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.5008,0.0372,0.215,0.08,0.0114,0.002,0.1059,0.0028,"2018"
"336",2,"Princeton University","R1","NJ",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.415,0.0779,0.1049,0.2143,0.0017,0.0011,0.1232,0.0141,"2018"
"337",1,"Rutgers University-Camden","R2","NJ",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.4573,0.1873,0.1687,0.099,0.0016,0.0014,0.0212,0.0187,"2018"
"338",2,"Seton Hall University","R2","NJ",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.4921,0.0796,0.1728,0.1,0.002,0.001,0.0411,0.0705,"2018"
"339",2,"Stevens Institute of Technology","R2","NJ",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6433,0.0219,0.1137,0.1459,9e-04,0,0.0351,0.0392,"2018"
"340",1,"Oklahoma State University-Main Campus","R1","OK",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.678,0.0431,0.0805,0.0187,0.0435,0.001,0.0358,0.0011,"2018"
"341",2,"University of Pennsylvania","R1","PA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.4183,0.0757,0.1035,0.2074,0.001,6e-04,0.1256,0.0204,"2018"
"342",1,"Utah State University","R2","UT",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.8232,0.0086,0.0608,0.0104,0.0163,0.0035,0.0117,0.0436,"2018"
"343",1,"Old Dominion University","R2","VA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.4359,0.3159,0.0888,0.0468,0.0027,0.003,0.0136,0.0241,"2018"
"344",1,"North Carolina A & T State University","R2","NC",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.0523,0.8198,0.0409,0.0073,0.0025,2e-04,0.0101,0.023,"2018"
"345",1,"Bowling Green State University-Main Campus","R2","OH",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.7832,0.0855,0.0432,0.0098,0.0017,3e-04,0.0192,0.0212,"2018"
"346",1,"Kent State University at Kent","R2","OH",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.7523,0.0895,0.0371,0.017,0.0019,7e-04,0.037,0.0281,"2018"
"347",2,"Azusa Pacific University","R2","CA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.3726,0.0611,0.3322,0.095,0.0029,0.0106,0.031,0.0233,"2018"
"348",2,"Chapman University","R2","CA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.5282,0.0174,0.1573,0.1304,0.0016,0.0031,0.038,0.0514,"2018"
"349",1,"University of California-Berkeley","R1","CA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.2487,0.0184,0.1524,0.351,9e-04,0.0012,0.1297,0.04,"2018"
"350",1,"University of California-Los Angeles","R1","CA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.266,0.0342,0.2216,0.2795,0.0021,0.0026,0.1155,0.0236,"2018"
"351",1,"University of Colorado Denver/Anschutz Medical Campus","R1","CO",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.4574,0.0532,0.236,0.1023,0.0033,0.0011,0.0774,0.0129,"2018"
"352",1,"University of Kentucky","R1","KY",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.7544,0.075,0.049,0.0279,0.0015,8e-04,0.0234,0.0285,"2018"
"353",1,"Michigan Technological University","R2","MI",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.8811,0.0101,0.0214,0.0167,0.004,3e-04,0.019,0.0155,"2018"
"354",1,"New Jersey Institute of Technology","R1","NJ",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.3436,0.0795,0.2184,0.2309,0.001,3e-04,0.0528,0.0399,"2018"
"355",1,"University of New Mexico-Main Campus","R1","NM",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.3196,0.0241,0.4879,0.0399,0.0555,0.0023,0.0236,0.0129,"2018"
