"","control","university","r_status","state","female","first_gen","poverty_rate","veteran","unemp_rate","white","black","hispanic","asian","indigenous","nhpi","nra","unknown","year"
"356",2,"Nova Southeastern University","R2","FL",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.2848,0.1402,0.3379,0.1026,0.0027,0.001,0.0595,0.0344,"2018"
"357",1,"University of Idaho","R2","ID",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.739,0.0118,0.1104,0.0142,0.0086,0.0036,0.0476,0.025,"2018"
"358",1,"Wichita State University","R2","KS",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6033,0.0604,0.1257,0.0725,0.0068,9e-04,0.0621,0.0222,"2018"
"359",2,"Tulane University of Louisiana","R1","LA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.6918,0.0734,0.0768,0.0472,0.0021,0.0021,0.0518,0.0165,"2018"
"360",1,"University of Louisiana at Lafayette","R2","LA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6496,0.201,0.0572,0.0234,0.0033,0.0013,0.014,0.0271,"2018"
"361",1,"University of Maryland-Baltimore County","R2","MD",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.4005,0.1834,0.0777,0.2195,0.0019,0.0013,0.0402,0.0281,"2018"
"362",1,"University of Maryland Eastern Shore","R2","MD",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.095,0.7076,0.0402,0.0165,0.002,8e-04,0.0296,0.0662,"2018"
"363",2,"Johns Hopkins University","R1","MD",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.3061,0.071,0.1415,0.2612,0.0013,0.0023,0.1056,0.0539,"2018"
"364",2,"Illinois Institute of Technology","R2","IL",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.3635,0.0516,0.1652,0.1508,3e-04,0,0.1949,0.0345,"2018"
"365",1,"Southern Illinois University-Carbondale","R2","IL",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6605,0.1498,0.0928,0.0198,0.0026,7e-04,0.0391,8e-04,"2018"
"366",1,"University of Iowa","R1","IA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.7242,0.0302,0.077,0.0419,0.0018,8e-04,0.0742,0.0175,"2018"
"367",2,"Emory University","R1","GA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.396,0.0786,0.1016,0.2087,0.001,4e-04,0.1603,0.013,"2018"
"368",1,"Georgia Institute of Technology-Main Campus","R1","GA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.4804,0.0697,0.0724,0.215,3e-04,3e-04,0.0905,0.0325,"2018"
"369",1,"Boise State University","R2","ID",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.7339,0.0168,0.1355,0.0235,0.0039,0.0052,0.0152,0.0163,"2018"
"370",1,"University of Massachusetts-Boston","R2","MA",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.3371,0.1714,0.1651,0.1366,0.0011,2e-04,0.107,0.0486,"2018"
"371",2,"Boston University","R1","MA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.3741,0.0412,0.1144,0.1595,5e-04,0.0013,0.2139,0.0555,"2018"
"372",2,"Brandeis University","R1","MA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.4613,0.0527,0.083,0.1403,6e-04,0.0017,0.1999,0.0259,"2018"
"373",1,"Central Michigan University","R2","MI",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.7665,0.0956,0.0498,0.0106,0.0077,5e-04,0.0212,0.0103,"2018"
"374",1,"Eastern Michigan University","R2","MI",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6348,0.1801,0.0512,0.027,0.0028,8e-04,0.0175,0.0485,"2018"
"375",2,"Tufts University","R1","MA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.5519,0.0427,0.0693,0.131,2e-04,2e-04,0.1051,0.047,"2018"
"376",2,"Northeastern University","R1","MA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.4523,0.0387,0.0842,0.14,4e-04,2e-04,0.1781,0.0628,"2018"
"377",1,"Auburn University","R1","AL",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.8078,0.055,0.0342,0.0236,0.0038,5e-04,0.049,0.0036,"2018"
"378",1,"Arkansas State University-Main Campus","R2","AR",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.7478,0.1309,0.0324,0.0089,0.0031,6e-04,0.0471,0.0065,"2018"
"379",1,"University of Arkansas at Little Rock","R2","AR",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.4913,0.2818,0.0466,0.0232,0.0022,0,0.0414,0.0016,"2018"
"380",1,"University of California-Santa Barbara","R1","CA",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.3066,0.0207,0.261,0.179,0.0012,0.001,0.1234,0.0247,"2018"
"381",1,"Colorado School of Mines","R2","CO",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.7222,0.01,0.0921,0.0446,0.0037,6e-04,0.0542,0.0145,"2018"
"382",1,"Colorado State University-Fort Collins","R1","CO",0.539136254314249,0.257929520377949,7.62465649889313,0.00372473251787072,3.29290076428244,0.7135,0.0232,0.1423,0.0274,0.0042,0.0016,0.037,0.0097,"2018"
"383",1,"Arizona State University-Skysong","R2","AZ",0.563570298783846,0.294068559226923,8.77007873025984,0.00496156547632653,3.53582677688976,0.6242,0.067,0.2043,0.0401,0.0097,0.0042,0.002,0.0035,"2018"
