"","control","instnm","ccbasic","stabbr","npt4_pub","npt4_priv","costt4_a","grad_debt_mdn","avgfacsal","unemp_rate","year"
"1265",1,"Temple University",15,"PA",20669,NA,28916,26000,11070,NA,"2015"
"1266",2,"Thomas Jefferson University",16,"PA",NA,NA,NA,12500,8243,NA,"2015"
"1267",2,"Brown University",15,"RI",NA,27496,62694,16000,15579,NA,"2015"
"1268",1,"University of South Carolina-Columbia",15,"SC",18555,NA,25390,23000,10744,NA,"2015"
"1269",1,"South Dakota State University",16,"SD",21762,NA,24820,25000,8255,NA,"2015"
"1270",1,"University of Missouri-Columbia",15,"MO",16902,NA,23298,21530,9636,NA,"2015"
"1271",2,"Saint Louis University",16,"MO",NA,31005,53949,26000,10385,NA,"2015"
"1272",1,"University of Missouri-St Louis",16,"MO",10017,NA,21089,20531,8675,NA,"2015"
"1273",1,"The University of Montana",16,"MT",12679,NA,16807,23000,7817,NA,"2015"
"1274",2,"Dartmouth College",15,"NH",NA,29986,65133,13327,15278,NA,"2015"
"1275",1,"North Carolina State University at Raleigh",15,"NC",14988,NA,22767,20522,10964,NA,"2015"
"1276",2,"Duke University",15,"NC",NA,34137,63999,7500,16170,NA,"2015"
"1277",1,"Kennesaw State University",16,"GA",17675,NA,23451,21000,7167,NA,"2015"
"1278",2,"Howard University",16,"DC",NA,24729,43116,27000,9521,NA,"2015"
"1279",2,"Georgetown University",15,"DC",NA,30580,64540,15500,15382,NA,"2015"
"1280",2,"University of Miami",15,"FL",NA,32746,61666,19699,12367,NA,"2015"
"1281",1,"Idaho State University",16,"ID",16257,NA,19191,22674,7391,NA,"2015"
"1282",2,"DePaul University",16,"IL",NA,28434,49332,23290.5,10916,NA,"2015"
"1283",2,"University of Chicago",15,"IL",NA,25883,67572,14250,18469,NA,"2015"
"1284",1,"University of Illinois at Chicago",15,"IL",13527,NA,25046,18750,11151,NA,"2015"
"1285",1,"Ball State University",16,"IN",15201,NA,22294,24836,7514,NA,"2015"
"1286",1,"Georgia State University",15,"GA",14290,NA,23631,23500,8780,NA,"2015"
"1287",1,"University of Georgia",15,"GA",12023,NA,22536,19000,11177,NA,"2015"
"1288",1,"Northern Illinois University",16,"IL",19259,NA,27837,23500,8301,NA,"2015"
"1289",1,"Illinois State University",16,"IL",20437,NA,27018,21786,8268,NA,"2015"
"1290",2,"University of Notre Dame",15,"IN",NA,29727,62427,21450,14355,NA,"2015"
"1291",1,"Iowa State University",15,"IA",13997,NA,18943,23750,11173,NA,"2015"
"1292",1,"University of California-San Diego",15,"CA",13816,NA,30842,18500,16373,NA,"2015"
"1293",1,"San Diego State University",16,"CA",13475,NA,20977,15250,10903,NA,"2015"
"1294",2,"University of San Diego",16,"CA",NA,33865,59234,22836,12284,NA,"2015"
"1295",2,"University of Denver",16,"CO",NA,28839,56992,23500,10796,NA,"2015"
"1296",1,"University of Florida",15,"FL",12022,NA,20467,15590,11608,NA,"2015"
"1297",2,"Loyola University Chicago",16,"IL",NA,31149,50954,25000,10639,NA,"2015"
"1298",1,"University of New Orleans",16,"LA",8891,NA,17489,16250,7979,NA,"2015"
"1299",1,"University of Minnesota-Twin Cities",15,"MN",16439,NA,24741,20000,11927,NA,"2015"
"1300",1,"Western Michigan University",16,"MI",16870,NA,22561,26500,9972,NA,"2015"
"1301",1,"University of Massachusetts-Lowell",16,"MA",18005,NA,24804,25000,11606,NA,"2015"
"1302",1,"University of Michigan-Ann Arbor",15,"MI",14521,NA,26850,20062.5,11622,NA,"2015"
"1303",1,"Michigan State University",15,"MI",16788,NA,24976,25250,11802,NA,"2015"
"1304",1,"Jackson State University",16,"MS",13142,NA,20459,28300,7260,NA,"2015"
"1305",1,"Mississippi State University",15,"MS",16035,NA,22525,23250,8789,NA,"2015"
"1306",1,"University of Nevada-Reno",15,"NV",14568,NA,20542,18500,10193,NA,"2015"
"1307",2,"University of Rochester",15,"NY",NA,24972,63268,24500,12762,NA,"2015"
"1308",2,"New York University",15,"NY",NA,36419,65405,23100,14056,NA,"2015"
"1309",2,"Syracuse University",15,"NY",NA,30135,59047,27000,11808,NA,"2015"
"1310",1,"SUNY at Albany",15,"NY",16126,NA,22568,21000,9678,NA,"2015"
"1311",1,"SUNY College of Environmental Science and Forestry",16,"NY",17615,NA,24366,19708,8738,NA,"2015"
"1312",1,"University of North Carolina at Chapel Hill",15,"NC",13744,NA,23940,16250,12841,NA,"2015"
"1313",1,"University of North Carolina at Charlotte",16,"NC",11571,NA,18372,22750,9622,NA,"2015"
"1314",1,"Arizona State University-Downtown Phoenix",16,"AZ",12135,NA,24346,20086,9177,NA,"2015"
"1315",1,"University of Akron Main Campus",16,"OH",17350,NA,22378,25398.5,9837,NA,"2015"
"1316",1,"University of North Dakota",16,"ND",16400,NA,20657,24250,8377,NA,"2015"
"1317",1,"Texas A & M University-College Station",15,"TX",13426,NA,22893,18750,11879,NA,"2015"
"1318",1,"The University of Texas at El Paso",15,"TX",6638,NA,15277,17000,9055,NA,"2015"
"1319",1,"Texas Southern University",16,"TX",19221,NA,23414,29171,7598,NA,"2015"
"1320",1,"Virginia Commonwealth University",15,"VA",21741,NA,28631,23250,9306,NA,"2015"
"1321",1,"University of Virginia-Main Campus",15,"VA",19430,NA,27010,19500,14278,NA,"2015"
"1322",1,"University of Wisconsin-Milwaukee",15,"WI",16746,NA,20825,24746,8540,NA,"2015"
"1323",1,"Purdue University-Main Campus",15,"IN",13516,NA,22581,21500,12418,NA,"2015"
"1324",1,"University of Arizona",15,"AZ",16099,NA,23996,18750,11147,NA,"2015"
"1325",1,"Northern Arizona University",16,"AZ",14785,NA,24693,19997.5,8207,NA,"2015"
"1326",1,"University of California-Irvine",15,"CA",13647,NA,30796,17000,15447,NA,"2015"
"1327",2,"Loyola Marymount University",16,"CA",NA,37606,58531,21591,11733,NA,"2015"
"1328",2,"University of Dayton",16,"OH",NA,27884,51320,26000,8877,NA,"2015"
"1329",1,"University of Alabama in Huntsville",16,"AL",18661,NA,20999,23118,9442,NA,"2015"
"1330",1,"University of Alabama at Birmingham",15,"AL",16023,NA,22232,20926.5,10717,NA,"2015"
